id_cliente,monto,fecha,id,nombre,ciudad
67.0,510.69,2023-01-09,67,Luis,Desconocida
41.0,972.09,2023-07-27,41,Luis,Querétaro
76.0,587.68,,76,Miguel,Guadalajara
65.0,69.88,2022-02-20,65,Pedro,Querétaro
28.0,485.97,2023-03-18,28,Laura,Tijuana
48.0,56.2,2023-02-16,48,Miguel,León
97.0,390.15,2023-03-03,97,Juan,Querétaro
16.0,935.31,2021-09-01,16,Ana,Monterrey
30.0,25.23,2023-03-28,30,Luis,Monterrey
76.0,254.87,2020-03-07,76,Miguel,Guadalajara
55.0,4.4,,55,Sin nombre,Querétaro
68.0,572.89,2023-03-23,68,Maria,CDMX
77.0,412.72,2024-01-14,77,Miguel,Desconocida
97.0,465.99,2020-09-25,97,Juan,Querétaro
21.0,302.93,2023-09-14,21,Ana,Tijuana
42.0,694.82,2022-01-21,42,Sin nombre,CDMX
27.0,516.94,2021-10-24,27,Luis,Monterrey
74.0,999.47,2021-07-11,74,Ana,Desconocida
86.0,918.34,2023-02-27,86,Laura,Puebla
34.0,537.06,2020-08-07,34,Sin nombre,CDMX
95.0,699.13,2023-01-28,95,Sofia,Guadalajara
48.0,598.02,2020-05-22,48,Miguel,León
42.0,,2020-07-22,42,Sin nombre,CDMX
2.0,56.82,2023-11-21,2,Miguel,Puebla
49.0,,2021-04-09,49,Carlos,CDMX
66.0,584.08,2020-12-21,66,Luis,Desconocida
25.0,549.49,2020-11-29,25,Miguel,León
28.0,273.75,2022-11-20,28,Laura,Tijuana
23.0,939.61,2023-06-25,23,Juan,Mérida
65.0,612.07,2023-06-02,65,Pedro,Querétaro
30.0,203.26,2020-09-06,30,Luis,Monterrey
33.0,699.46,2021-06-17,33,Sin nombre,Monterrey
47.0,571.99,2022-12-04,47,Carlos,Puebla
39.0,919.62,2020-01-01,39,Maria,Tijuana
74.0,899.97,,74,Ana,Desconocida
44.0,954.23,2020-09-28,44,Elena,León
85.0,464.15,2020-10-22,85,Elena,Desconocida
57.0,891.75,2023-08-31,57,Miguel,Monterrey
94.0,670.0,2021-05-31,94,Maria,CDMX
52.0,730.75,2020-12-06,52,Sin nombre,Guadalajara
74.0,885.35,2020-12-03,74,Ana,Desconocida
31.0,704.43,2022-10-04,31,Miguel,Monterrey
42.0,909.2,2022-01-31,42,Sin nombre,CDMX
47.0,280.85,2020-08-03,47,Carlos,Puebla
20.0,469.12,2020-07-17,20,Juan,Guadalajara
29.0,264.67,,29,Sofia,CDMX
9.0,176.12,2022-05-27,9,Ana,León
53.0,752.26,2022-04-02,53,Juan,Querétaro
66.0,455.06,2023-03-10,66,Luis,Desconocida
66.0,433.35,2021-06-09,66,Luis,Desconocida
77.0,329.69,2021-08-26,77,Miguel,Desconocida
69.0,306.38,2022-11-11,69,Laura,León
49.0,935.88,2021-09-21,49,Carlos,CDMX
56.0,748.38,2020-12-15,56,Laura,Guadalajara
69.0,950.29,2023-08-07,69,Laura,León
10.0,942.64,2020-03-06,10,Pedro,Guadalajara
35.0,224.85,2020-07-24,35,Luis,Monterrey
58.0,697.35,2020-04-19,58,Pedro,Mérida
12.0,440.29,2021-07-12,12,Luis,León
12.0,,2022-10-01,12,Luis,León
59.0,180.22,2020-06-22,59,Miguel,Monterrey
59.0,5.15,2023-07-20,59,Miguel,Monterrey
38.0,285.01,2020-04-15,38,Sofia,CDMX
77.0,920.01,2022-05-31,77,Miguel,Desconocida
89.0,610.45,2022-06-08,89,Pedro,Puebla
77.0,258.71,2020-01-05,77,Miguel,Desconocida
73.0,739.39,2022-03-03,73,Laura,Querétaro
39.0,584.36,2022-07-27,39,Maria,Tijuana
63.0,316.43,2021-06-13,63,Maria,Tijuana
86.0,68.68,2022-07-04,86,Laura,Puebla
